"","state","year","pop","assault","burglary","rape","theft","vehicleTheft","murder","robbery"
"1389","rhode island",1988,996406,24.6586230913905,125.952673910033,3.04092909918246,271.465647537249,82.6771416470796,0.411478855004888,11.5013358008683
"1390","rhode island",1989,1000670,23.3343659747969,120.369352533802,2.65821899327451,270.858524788392,92.1682472743262,0.489671919813725,11.2124876332857
"1391","rhode island",1990,1005995,27.9723060253779,126.789894581981,2.46522100010437,268.848254712996,95.1992803145145,0.477139548407298,12.1670584843861
"1392","rhode island",1991,1010649,30.2478902170783,112.007234954965,3.06733593957942,263.830469332083,78.88990143957,0.366101386336898,12.2099759659387
"1393","rhode island",1992,1012581,26.3485094031984,103.981804912397,3.07135922953324,237.53161475477,73.7027457556482,0.355527113386485,9.38196549214334
"1394","rhode island",1993,1015112,26.4108787995807,102.540409334142,2.81742310208135,237.422077563855,63.6678514292019,0.384194059374729,9.95949215456029
"1395","rhode island",1994,1015960,25.1978424347415,89.5802984369463,2.68711366589236,226.770739005473,51.0157880231505,0.403559195243907,8.56332926493169
"1396","rhode island",1995,1017002,23.8839254986716,90.7962816198985,2.62536356860655,243.657337940338,42.9104367543033,0.324483137692945,8.98719963185913
"1397","rhode island",1996,1020893,22.5390907764085,79.685138403339,2.81126425590145,228.887846228743,45.0292048236201,0.244883645984447,8.07136497164737
"1398","rhode island",1997,1025353,21.426767171891,69.0786490116087,3.5402441890744,209.674131738045,40.9127393200195,0.243818470321928,6.89518634070413
"1399","rhode island",1998,1031155,19.880619305536,62.5706125655212,3.4039499396308,207.446989055962,37.1331177175109,0.23274871382091,6.39089176699914
"1400","rhode island",1999,1040402,15.6189626701986,60.9475952564489,3.75816271018318,214.186439472435,38.7542507607636,0.346020096078247,7.5739954363794
"1401","rhode island",2000,1050268,16.5862427494697,63.0315309997067,3.92280827369776,209.83215712561,44.4172344582526,0.428462068729124,8.7787117192945
"1402","rhode island",2001,1057142,17.3770411165198,64.5514036903273,3.93513832578783,225.844777711982,47.7040927330482,0.368919218042609,9.32703458948751
"1403","rhode island",2002,1065995,15.938161060793,60.1785186609693,3.70545828076117,225.620195216676,45.7413027265606,0.384617188635969,8.59291084854995
"1404","rhode island",2003,1071342,15.9986260223159,51.5614995024931,4.71371420144081,208.336833616156,40.9486419836056,0.233352188190139,7.74729264791262
"1405","rhode island",2004,1074579,14.8523282141192,50.8571263722816,2.97791041887102,201.22299058515,37.9497459004875,0.24195522153327,6.80266411310848
"1406","rhode island",2005,1067916,14.7202588967672,49.7979241813026,3.00585439304215,183.010648777619,41.1830143943906,0.318377100820664,7.2664891246128
"1407","south carolina",1969,2547708,17.2233238660003,85.2177722093741,1.4836865135251,133.841868848392,25.1912699571536,1.31883245646675,5.2871051156569
"1408","south carolina",1970,2604662,19.2385806680483,101.383596028967,1.79293896866465,148.733309734622,25.5733757393474,1.44740469204833,5.97774298546222
"1409","south carolina",1971,2661616,21.167591418146,101.731429327146,1.79590143732229,155.597201098881,21.6710449591526,1.6381025662605,6.16167020336517
"1410","south carolina",1972,2718294,27.6055496572483,109.480431476507,2.20358798569985,150.840931849167,21.8077956247558,1.64441373891124,6.48200672922061
"1411","south carolina",1973,2775339,27.3660262764297,117.308191900161,2.20513602122119,146.558672652242,24.1592108207322,1.41244006588024,7.77562668920806
"1412","south carolina",1974,2843112,27.9939728016343,152.990807256274,2.56760901434766,182.595690918965,27.652797357262,1.58980722532211,12.4757659916317
"1413","south carolina",1975,2900130,34.9122280725347,166.564947088579,2.57919472575367,209.521642133284,25.2230072445028,1.42752221452142,10.7753790347329
